radiant_team,dire_team,radiant_win
"75,12,59,71,27","80,126,26,138,48",false
"76,58,48,83,42","50,45,109,135,32",true
"36,35,26,6,14","17,75,83,28,8",false
"9,111,47,14,10","71,34,44,30,2",false
"93,64,50,119,104","9,85,81,41,68",false
"83,136,28,62,104","105,40,7,30,60",false
"73,57,50,36,14","41,53,21,98,40",true
"37,80,12,25,7","14,10,53,63,5",true
"81,64,93,50,35","20,11,67,16,84",true
"99,68,83,48,25","138,74,30,42,70",true
"136,4,7,129,86","128,49,18,94,26",false
"110,104,88,123,72","30,80,107,53,101",true
"42,71,80,107,14","53,99,61,63,91",true
"138,45,85,76,4","71,35,128,28,26",false
"27,42,32,74,110","20,62,13,69,67",true
"8,7,28,75,29","26,83,2,63,39",false
"81,35,99,13,22","6,32,96,59,43",false
"84,30,71,28,44","53,26,85,72,67",false
"37,81,93,68,67","35,86,36,7,55",true
"28,12,27,35,33","84,93,121,120,97",true
"6,60,9,83,137","42,26,53,62,99",false
"92,86,54,88,74","104,41,71,123,83",false
"40,77,12,50,30","35,104,106,19,86",true
"121,7,30,18,45","28,80,104,20,26",true
"97,67,59,7,3","12,20,8,71,36",true
"53,8,5,93,46","22,71,44,35,21",true
"138,26,50,86,97","33,67,22,36,19",false
"138,86,16,72,14","62,45,27,42,44",false
"28,75,76,10,9","44,57,27,71,80",false
"7,63,13,70,75","49,128,97,4,86",true
"22,97,45,89,79","34,102,1,23,30",false
"84,54,10,28,97","37,41,33,74,60",true
"87,40,54,57,22","85,100,76,28,44",false
"50,27,89,37,85","101,64,67,36,102",true
"27,123,53,12,29","22,86,138,48,4",true
"69,13,114,53,50","14,138,74,71,64",false
"26,36,27,18,30","7,84,6,20,71",false
"7,53,126,20,46","71,101,60,30,6",false
"27,71,138,14,70","100,92,50,54,53",true
"10,22,5,85,28","81,23,119,41,39",false
"82,12,121,86,81","1,42,27,75,69",true
"4,5,53,83,50","81,27,11,14,74",false
"33,93,55,14,137","84,37,11,71,81",false
"15,71,13,80,119","97,30,6,40,2",true
"128,17,53,14,28","40,67,31,9,54",true
"114,31,70,97,79","104,30,138,101,99",false
"74,57,12,137,51","40,42,25,106,67",true
"44,35,36,95,64","40,16,5,28,138",false
"34,110,75,67,135","100,35,1,27,23",true
"93,27,104,80,62","28,8,86,37,43",true
"71,6,2,44,22","86,21,1,119,76",true
"92,67,30,76,137","22,23,41,5,63",false
"68,41,92,27,107","30,17,44,97,22",false
"30,4,104,54,19","26,76,75,49,62",true
"68,137,99,26,63","104,1,14,32,64",false
"14,75,67,59,45","1,121,40,98,39",true
"59,7,96,30,44","41,53,98,35,14",false
"138,30,46,104,22","44,18,81,32,7",true
"83,58,93,104,60","88,97,14,1,112",true
"85,53,25,96,48","30,67,63,28,7",true
"102,98,105,49,14","97,23,25,93,104",true
"8,5,28,85,53","75,34,81,26,2",true
"86,35,80,15,54","64,59,46,100,44",true
"42,114,9,72,74","22,59,68,14,1",true
"40,101,74,48,2","35,42,121,45,80",true
