match_id,radiant_team,dire_team,radiant_win
7479566206,"64,11,88,63,121","22,67,84,2,14",false
7479566204,"126,68,99,62,93","41,35,84,15,75",true
7479566201,"62,48,1,112,11","26,8,15,36,97",true
7479566117,"12,35,30,42,51","47,14,5,23,63",true
7479566115,"101,86,35,93,97","88,81,17,121,14",false
7479566114,"29,111,35,41,30","42,67,37,27,11",false
7479566111,"88,70,64,81,21","28,22,53,137,89",false
7479566110,"8,14,75,42,23","83,31,106,48,128",true
7479566013,"39,104,27,1,14","36,64,80,41,72",false
7479565918,"35,18,128,104,26","23,62,16,56,84",false
7479565815,"97,71,28,45,76","51,22,8,14,96",true
7479565606,"81,99,25,22,39","93,76,53,42,64",true
7479565605,"28,64,96,8,68","89,41,99,84,25",true
7479565600,"13,71,81,2,135","84,73,67,5,53",true
7479565502,"76,108,68,20,18","111,71,13,67,28",false
7479565409,"47,27,54,74,20","88,46,26,36,50",true
7479565408,"10,53,28,30,22","135,67,86,46,26",false
7479565404,"128,84,43,41,76","97,42,50,53,104",true
7479565306,"22,2,30,138,19","121,28,36,96,93",true
7479565303,"105,17,47,62,67","14,18,42,21,44",true
7479565300,"35,86,22,114,2","9,8,40,136,93",true
7479565215,"9,23,6,31,18","113,104,87,93,50",true
7479565213,"23,27,28,41,121","14,25,51,71,42",true
7479565212,"16,121,8,67,136","6,119,12,5,102",true
7479565208,"93,62,63,88,32","90,53,16,99,22",false
7479565207,"40,93,76,87,71","83,63,36,54,13",false
7479565205,"62,97,8,58,5","22,67,30,2,123",true
7479565111,"42,63,37,76,83","44,36,84,5,31",true
7479565110,"34,75,67,62,28","102,76,14,44,56",true
7479565108,"75,40,81,28,17","34,1,87,74,98",true
7479565016,"120,41,69,56,90","64,53,71,76,67",false
7479565013,"28,1,39,64,72","41,42,46,75,97",false
7479565011,"30,57,42,80,28","63,29,75,50,8",true
7479564918,"91,29,14,106,81","23,101,26,12,42",false
7479564914,"25,20,36,67,7","58,64,8,71,93",true
7479564912,"16,6,21,111,71","47,20,12,2,121",true
7479564900,"100,11,86,41,96","30,36,77,67,101",false
7479564817,"75,88,67,70,84","93,14,135,36,105",true
7479564810,"53,114,17,40,14","51,1,5,69,11",false
7479564809,"7,123,12,83,56","20,37,42,28,22",true
7479564701,"67,84,21,75,58","18,39,30,5,23",false
7479564600,"85,13,93,47,104","14,128,135,28,67",false
7479564512,"16,136,91,71,101","11,29,34,75,30",true
7479564416,"86,41,129,21,59","39,17,50,97,44",true
7479564411,"85,75,114,20,47","28,12,84,35,9",false
7479564204,"114,10,137,7,85","37,106,27,41,60",true
7479564117,"80,91,34,19,70","11,13,99,79,36",false
7479564114,"75,135,30,94,101","2,62,42,14,17",true
7479564113,"3,85,13,10,128","29,59,76,22,121",true
7479564111,"51,62,106,41,22","70,44,32,88,21",false
7479564010,"37,39,108,53,44","121,67,28,35,138",false
7479564009,"7,75,53,22,63","101,67,80,59,21",false
7479563910,"54,53,22,42,39","58,50,74,89,2",true
7479563909,"101,41,135,59,72","50,71,121,40,6",true
7479563903,"86,85,42,16,51","14,22,12,5,72",false
7479563902,"1,36,42,74,84","114,14,60,111,71",true
7479563819,"26,45,71,14,63","81,9,30,138,49",false
7479563817,"11,102,57,21,75","82,3,30,70,2",true
7479563816,"123,2,14,114,27","53,101,43,129,54",true
7479563814,"25,1,5,60,22","26,94,14,6,105",true
7479563813,"37,42,111,18,6","35,81,26,76,44",true
7479563705,"83,76,114,75,102","35,137,54,50,26",true
7479563618,"25,7,119,1,26","41,16,64,84,88",false
7479563617,"68,28,54,62,36","15,44,30,46,40",true
7479563616,"20,53,92,94,28","14,81,104,98,123",false
7479563613,"81,6,121,25,62","67,3,80,32,57",true
7479563611,"12,64,50,2,30","135,26,67,11,84",true
7479563510,"97,96,71,25,67","138,98,119,4,36",true
7479563505,"30,42,56,17,69","101,126,63,14,29",false
7479563419,"34,137,63,123,58","93,2,138,10,15",true
7479563403,"113,81,83,91,10","68,74,30,36,63",true
7479563401,"50,113,104,12,71","44,26,53,80,110",true
7479563301,"34,63,30,27,98","83,13,137,89,72",true
7479563300,"45,67,76,14,92","23,83,40,53,54",true
7479563119,"80,13,74,114,121","30,53,21,1,42",false
7479563116,"68,47,96,56,14","42,53,11,8,26",false
7479562914,"101,89,17,135,47","16,27,2,10,74",true
7479562912,"32,126,12,29,37","28,68,48,84,92",true
